Year,MonthNumber,Salmon,SalmonWeight,SeaTrout,SeaTroutWeight,Farmed,Method
1957,9,0.015,6.353333333,0,0,0,Fixed Engine: Retained
1957,9,0.263,6.333079848,1.435,2.210452962,0,Net and Coble: Retained
1958,2,0.079,3.169620253,0.001,1.8,0,Fixed Engine: Retained
1958,2,1.978,3.366632963,0.344,1.385755814,0,Net and Coble: Retained
1958,3,0.634,3.406940063,0.045,1.431111111,0,Fixed Engine: Retained
1958,3,5.773,3.385640049,1.997,1.182023035,0,Net and Coble: Retained
1958,4,0.481,3.507068607,0.036,1.386111111,0,Fixed Engine: Retained
1958,4,5.948,3.503597848,2.673,1.062962963,0,Net and Coble: Retained
1958,5,0.31,3.997419355,0.047,1.465957447,0,Fixed Engine: Retained
1958,5,5.044,3.828647898,5.127,1.136863663,0,Net and Coble: Retained
1958,6,0.255,4.448627451,0.164,2.013414634,0,Fixed Engine: Retained
1958,6,3.612,4.212292359,9.408,1.725414541,0,Net and Coble: Retained
1958,7,0.259,5.378378378,0.188,1.978191489,0,Fixed Engine: Retained
1958,7,2.273,4.724901012,13.534,1.868967046,0,Net and Coble: Retained
1958,8,0.163,5.807361963,0.107,1.975700935,0,Fixed Engine: Retained
1958,8,1.187,5.271946083,4.959,1.727666868,0,Net and Coble: Retained
1958,9,0.028,9.542857143,0.011,1.854545455,0,Fixed Engine: Retained
1958,9,0.47,6.495957447,3.339,2.154267745,0,Net and Coble: Retained
1959,2,0.263,3.533840304,0.002,2.05,0,Fixed Engine: Retained
1959,2,13.149,3.559434178,1.035,1.739033816,0,Net and Coble: Retained
1959,3,0.344,3.43372093,0.025,1.452,0,Fixed Engine: Retained
1959,3,11.785,3.539253288,1.485,1.373939394,0,Net and Coble: Retained
1959,4,0.428,3.566121495,0.092,1.489130435,0,Fixed Engine: Retained
1959,4,8.393,3.639652091,4.736,1.072402872,0,Net and Coble: Retained
1959,5,0.241,3.862240664,0.107,1.840186916,0,Fixed Engine: Retained
1959,5,4.211,3.94186654,7.633,1.235988471,0,Net and Coble: Retained
1959,6,0.189,4.595767196,0.084,1.997619048,0,Fixed Engine: Retained
1959,6,4.681,4.388827174,15.34,1.407764016,0,Net and Coble: Retained
1959,7,0.172,5.089534884,0.093,2.131182796,0,Fixed Engine: Retained
1959,7,3.675,4.956680272,13.387,1.654814372,0,Net and Coble: Retained
1959,8,0.105,5.732380952,0.028,1.667857143,0,Fixed Engine: Retained
1959,8,2.825,5.914053097,4.526,1.726071586,0,Net and Coble: Retained
1959,9,0.039,6.384615385,0.009,2.522222222,0,Fixed Engine: Retained
1959,9,1.159,6.579637619,1.312,2.167378049,0,Net and Coble: Retained
1960,2,0.197,3.33857868,0.012,2.041666667,0,Fixed Engine: Retained
1960,2,1.744,3.384002294,0.268,1.982089552,0,Net and Coble: Retained
1960,3,0.244,3.366803279,0.061,2.02295082,0,Fixed Engine: Retained
1960,3,5.885,3.406151232,0.784,1.94744898,0,Net and Coble: Retained
1960,4,0.318,3.822641509,0.081,1.658024691,0,Fixed Engine: Retained
1960,4,2.969,3.62401482,1.332,1.342042042,0,Net and Coble: Retained
1960,5,0.241,4.326970954,0.05,1.714,0,Fixed Engine: Retained
1960,5,3.24,4.053364198,2.933,1.171939993,0,Net and Coble: Retained
1960,6,0.176,4.584659091,0.049,1.824489796,0,Fixed Engine: Retained
1960,6,2.697,4.462588061,13.188,1.156202608,0,Net and Coble: Retained
1960,7,0.366,4.816120219,0.16,1.695,0,Fixed Engine: Retained
1960,7,3.71,5.125336927,16.767,1.664579233,0,Net and Coble: Retained
1960,8,0.32,6.0825,0.068,1.741176471,0,Fixed Engine: Retained
1960,8,2.963,5.763347958,7.297,1.589598465,0,Net and Coble: Retained
1960,9,0.129,7.236434109,0.021,2.485714286,0,Fixed Engine: Retained
1960,9,1.659,6.035322483,2.617,2.179403898,0,Net and Coble: Retained
1961,2,0.071,3.335211268,0.001,1.4,0,Fixed Engine: Retained
1961,2,1.992,3.437901606,0.213,1.88028169,0,Net and Coble: Retained
1961,3,0.204,3.261764706,0.007,1.685714286,0,Fixed Engine: Retained
1961,3,4.825,3.495336788,0.517,1.791489362,0,Net and Coble: Retained
1961,4,0.323,3.5374613,0.017,1.811764706,0,Fixed Engine: Retained
1961,4,3.441,3.609764603,1.866,1.205466238,0,Net and Coble: Retained
1961,5,0.361,4.229362881,0.095,1.351578947,0,Fixed Engine: Retained
1961,5,3.12,3.925897436,10.462,1.084983751,0,Net and Coble: Retained
1961,6,0.187,4.555080214,0.084,1.727380952,0,Fixed Engine: Retained
1961,6,1.975,4.219696203,16.162,1.352864744,0,Net and Coble: Retained
1961,7,0.18,5.228888889,0.089,1.937078652,0,Fixed Engine: Retained
1961,7,2.886,5.045010395,13.236,1.644288305,0,Net and Coble: Retained
1961,8,0.192,5.872916667,0.083,2.174698795,0,Fixed Engine: Retained
1961,8,2.733,5.793450421,5.592,1.731545064,0,Net and Coble: Retained
1961,9,0.068,6.704411765,0.015,2.506666667,0,Fixed Engine: Retained
1961,9,1.621,6.541949414,3.018,2.395427435,0,Net and Coble: Retained
1962,2,0.097,3.586597938,0.011,2.354545455,0,Fixed Engine: Retained
1962,2,1.934,3.522285419,0.158,0.67721519,0,Net and Coble: Retained
1962,3,0.236,3.348305085,0.044,2.020454545,0,Fixed Engine: Retained
1962,3,2.708,3.435782866,0.792,1.576641414,0,Net and Coble: Retained
1962,4,0.348,3.786494253,0.08,1.44625,0,Fixed Engine: Retained
1962,4,2.79,3.563369176,2.461,1.231938236,0,Net and Coble: Retained
1962,5,0.303,4.122772277,0.183,1.268852459,0,Fixed Engine: Retained
1962,5,4.145,4.053992762,10.594,0.997102133,0,Net and Coble: Retained
1962,6,0.365,4.590684932,0.193,1.744041451,0,Fixed Engine: Retained
1962,6,4.058,4.529669788,16.611,1.310065619,0,Net and Coble: Retained
1962,7,0.357,4.940056022,0.466,1.875751073,0,Fixed Engine: Retained
1962,7,5.283,5.026689381,26.126,1.766156319,0,Net and Coble: Retained
1962,8,0.232,5.918103448,0.233,2.026609442,0,Fixed Engine: Retained
1962,8,5.997,5.140036685,14.049,1.827154958,0,Net and Coble: Retained
1962,9,0.156,6.780769231,0.244,2.619262295,0,Fixed Engine: Retained
1962,9,2.208,5.869791667,4.428,2.451422764,0,Net and Coble: Retained
1963,2,0.115,3.786086957,0.005,1.82,0,Fixed Engine: Retained
1963,2,0.677,3.654800591,0.468,1.990811966,0,Net and Coble: Retained
1963,3,0.809,3.384796044,0.025,1.924,0,Fixed Engine: Retained
1963,3,10.529,3.736651154,0.57,2.010877193,0,Net and Coble: Retained
1963,4,0.424,3.924056604,0.044,1.515909091,0,Fixed Engine: Retained
1963,4,4.232,3.89584121,1.316,1.379407295,0,Net and Coble: Retained
1963,5,0.371,4.328032345,0.164,1.479878049,0,Fixed Engine: Retained
1963,5,4.232,4.279985822,6.207,0.983260835,0,Net and Coble: Retained
1963,6,0.367,5.051226158,0.151,1.973509934,0,Fixed Engine: Retained
1963,6,3.625,4.894924138,11.644,1.297784267,0,Net and Coble: Retained
1963,7,0.459,5.507407407,0.301,2.013289037,0,Fixed Engine: Retained
1963,7,3.697,5.470219097,14.74,1.381702849,0,Net and Coble: Retained
1963,8,0.35,6.097714286,0.155,2.089677419,0,Fixed Engine: Retained
1963,8,4.657,5.90886837,6.757,1.181012284,0,Net and Coble: Retained
1963,9,0.208,6.158173077,0.108,2.813888889,0,Fixed Engine: Retained
1963,9,2.13,6.242769953,4.75,1.283326316,0,Net and Coble: Retained
1964,2,0.08,3.0725,0.007,1.614285714,0,Fixed Engine: Retained
1964,2,2.026,3.230454097,1.068,1.458895131,0,Net and Coble: Retained
1964,3,0.362,3.018508287,0.007,2.457142857,0,Fixed Engine: Retained
1964,3,3.025,3.308297521,0.391,1.491815857,0,Net and Coble: Retained
1964,4,0.208,3.340865385,0.062,1.491935484,0,Fixed Engine: Retained
1964,4,2.32,3.35012931,1.99,1.125326633,0,Net and Coble: Retained
1964,5,0.474,3.720675105,0.186,1.416666667,0,Fixed Engine: Retained
1964,5,2.886,3.625433125,5.718,1.052186079,0,Net and Coble: Retained
1964,6,0.365,4.041369863,0.199,1.590954774,0,Fixed Engine: Retained
1964,6,3.923,4.042900841,14.424,1.417415419,0,Net and Coble: Retained
1964,7,0.692,4.605346821,0.47,1.79212766,0,Fixed Engine: Retained
1964,7,5.137,4.617247421,16.179,1.606230299,0,Net and Coble: Retained
1964,8,0.575,5.456521739,0.256,2.005859375,0,Fixed Engine: Retained
1964,8,6.188,5.355510666,12.18,1.733522167,0,Net and Coble: Retained
1964,9,0.209,5.067464115,0.098,2.351020408,0,Fixed Engine: Retained
1964,9,3.794,5.817185029,5.3,2.306735849,0,Net and Coble: Retained
1965,2,0.223,3.370403587,0.014,1.75,0,Fixed Engine: Retained
1965,2,2.349,3.387739464,0.492,1.304471545,0,Net and Coble: Retained
1965,3,0.469,3.397654584,0.048,1.5875,0,Fixed Engine: Retained
1965,3,4.814,3.43737017,0.922,1.23340564,0,Net and Coble: Retained
1965,4,0.603,3.46252073,0.218,1.373394495,0,Fixed Engine: Retained
1965,4,3.56,3.519803371,5.071,1.028830605,0,Net and Coble: Retained
1965,5,0.394,4.135279188,0.44,1.463863636,0,Fixed Engine: Retained
1965,5,2.959,3.986515715,10.072,1.066342335,0,Net and Coble: Retained
1965,6,0.817,4.354345165,0.468,2.048931624,0,Fixed Engine: Retained
1965,6,4.342,4.431874712,16.319,1.530467553,0,Net and Coble: Retained
1965,7,0.678,4.643657817,0.554,1.928158845,0,Fixed Engine: Retained
1965,7,4.619,4.870015155,20.942,1.70050616,0,Net and Coble: Retained
1965,8,0.221,5.092307692,0.202,1.706435644,0,Fixed Engine: Retained
1965,8,3.843,5.367811606,10.233,1.833694909,0,Net and Coble: Retained
1965,9,0.067,5.232835821,0.079,2.35443038,0,Fixed Engine: Retained
1965,9,1.924,5.732640333,7.773,2.285179467,0,Net and Coble: Retained
1966,2,0.738,3.685907859,0.094,1.326595745,0,Net and Coble: Retained
1966,3,4.25,3.640682353,0.741,1.682186235,0,Net and Coble: Retained
1966,4,0.004,5.775,0,0,0,Fixed Engine: Retained
1966,4,3.572,3.745576708,2.047,1.409965804,0,Net and Coble: Retained
1966,5,0.071,4.242253521,0.013,1.638461538,0,Fixed Engine: Retained
1966,5,3.357,3.983437593,4.948,1.32172595,0,Net and Coble: Retained
1966,6,0.138,4.723188406,0.058,1.844827586,0,Fixed Engine: Retained
1966,6,2.44,4.32102459,10.538,1.396204213,0,Net and Coble: Retained
1966,7,0.548,4.679927007,0.23,1.329130435,0,Fixed Engine: Retained
1966,7,2.085,4.479376499,16.982,1.596655282,0,Net and Coble: Retained
1966,8,0.282,5.290425532,0.028,2.753571429,0,Fixed Engine: Retained
1966,8,5.805,5.172747631,7.724,1.792465044,0,Net and Coble: Retained
1966,9,0.039,5.779487179,0.005,2.36,0,Fixed Engine: Retained
1966,9,3.508,5.652451539,5.618,2.278622286,0,Net and Coble: Retained
1967,2,1.251,3.542845723,0.212,1.512735849,0,Net and Coble: Retained
1967,3,4.76,3.563466387,0.968,1.534607438,0,Net and Coble: Retained
1967,4,0.007,4.142857143,0.002,0.7,0,Fixed Engine: Retained
1967,4,3.866,3.622167615,4.779,1.158610588,0,Net and Coble: Retained
1967,5,0.025,3.992,0.012,1.283333333,0,Fixed Engine: Retained
1967,5,2.919,3.911853374,7.957,1.243006158,0,Net and Coble: Retained
1967,6,0.232,4.753017241,0.145,1.651724138,0,Fixed Engine: Retained
1967,6,5.292,4.577229781,23.498,1.56883139,0,Net and Coble: Retained
1967,7,0.224,4.795089286,0.125,1.796,0,Fixed Engine: Retained
1967,7,7.502,3.239896028,21.149,1.701664381,0,Net and Coble: Retained
1967,8,0.249,5.361044177,0.043,1.718604651,0,Fixed Engine: Retained
1967,8,11.778,5.172559008,12.41,1.637759871,0,Net and Coble: Retained
1967,9,0.081,5.35308642,0,0,0,Fixed Engine: Retained
1967,9,5.577,5.45969159,6.345,2.038345154,0,Net and Coble: Retained
1968,2,0.677,3.334564254,0.309,1.914239482,0,Net and Coble: Retained
1968,3,3.734,3.463524371,0.629,1.876311606,0,Net and Coble: Retained
1968,4,0.003,3.333333333,0.001,1.4,0,Fixed Engine: Retained
1968,4,2.617,3.651089033,1.725,1.496695652,0,Net and Coble: Retained
1968,5,0.044,4.402272727,0.018,1.638888889,0,Fixed Engine: Retained
1968,5,2.11,4.111563981,5.796,1.445617667,0,Net and Coble: Retained
1968,6,0.14,4.876428571,0.084,1.635714286,0,Fixed Engine: Retained
1968,6,2.916,4.551337449,13.384,1.591706515,0,Net and Coble: Retained
1968,7,0.4,5.07575,0.142,2.092253521,0,Fixed Engine: Retained
1968,7,6.156,5.007277453,14.253,1.92495615,0,Net and Coble: Retained
1968,8,0.279,5.394265233,0.026,1.919230769,0,Fixed Engine: Retained
1968,8,6.426,5.5791939,7.364,1.914706681,0,Net and Coble: Retained
1968,9,0.091,5.642857143,0.006,2.116666667,0,Fixed Engine: Retained
1968,9,5.463,6.037104155,3.887,2.208438384,0,Net and Coble: Retained
1969,2,0.001,3.2,0,0,0,Fixed Engine: Retained
1969,2,0.201,3.605970149,0.097,1.903092784,0,Net and Coble: Retained
1969,3,0.065,3.544615385,0.042,2.138095238,0,Fixed Engine: Retained
1969,3,0.557,3.566068223,0.297,1.542424242,0,Net and Coble: Retained
1969,4,0.082,3.867073171,0.028,2.382142857,0,Fixed Engine: Retained
1969,4,1.635,3.79351682,1.309,1.15355233,0,Net and Coble: Retained
1969,5,0.087,3.868965517,0.05,2.812,0,Fixed Engine: Retained
1969,5,1.558,4.039537869,2.505,1.303393214,0,Net and Coble: Retained
1969,6,0.228,3.785964912,0.109,2.63853211,0,Fixed Engine: Retained
1969,6,2.029,4.433760473,6.193,1.288487001,0,Net and Coble: Retained
1969,7,0.453,4.858278146,0.224,2.275892857,0,Fixed Engine: Retained
1969,7,6.098,4.628599541,12.491,1.454287087,0,Net and Coble: Retained
1969,8,0.336,4.87202381,0.065,2.652307692,0,Fixed Engine: Retained
1969,8,13.704,4.872343841,8.103,1.544724176,0,Net and Coble: Retained
1969,9,0.403,4.981637717,0.042,2.742857143,0,Fixed Engine: Retained
1969,9,7.017,5.16967365,3.834,1.806077204,0,Net and Coble: Retained
1970,2,0.094,4.536170213,0.012,0.908333333,0,Fixed Engine: Retained
1970,2,0.751,3.696404794,0.167,1.917365269,0,Net and Coble: Retained
1970,3,0.164,4.51097561,0.052,0.907692308,0,Fixed Engine: Retained
1970,3,2.818,3.700354862,0.749,1.792523364,0,Net and Coble: Retained
1970,4,0.071,4.45915493,0.048,0.90625,0,Fixed Engine: Retained
1970,4,3.478,3.963772283,1.89,1.32984127,0,Net and Coble: Retained
1970,5,0.08,2.34125,0.247,0.955060729,0,Fixed Engine: Retained
1970,5,2.473,4.117347351,6.974,1.075050186,0,Net and Coble: Retained
1970,6,0.189,4.703703704,0.298,1.030536913,0,Fixed Engine: Retained
1970,6,1.535,4.44228013,9.907,1.214080953,0,Net and Coble: Retained
1970,7,0.137,5.125547445,0.312,0.974038462,0,Fixed Engine: Retained
1970,7,4.791,5.103610937,15.56,1.362937018,0,Net and Coble: Retained
1970,8,0.168,4.781547619,0.265,0.943018868,0,Fixed Engine: Retained
1970,8,7.008,5.275014269,8.806,1.46709062,0,Net and Coble: Retained
1970,9,0.06,4.603333333,0.128,0.96015625,0,Fixed Engine: Retained
1970,9,3.43,5.398017493,4.557,1.727561993,0,Net and Coble: Retained
1971,2,0.075,4.536,0.022,2.268181818,0,Fixed Engine: Retained
1971,2,0.549,3.516393443,0.189,1.855026455,0,Net and Coble: Retained
1971,3,0.074,4.536486486,0.044,2.268181818,0,Fixed Engine: Retained
1971,3,2.574,3.63966589,0.718,1.616573816,0,Net and Coble: Retained
1971,4,0.054,4.124074074,0.061,2.357377049,0,Fixed Engine: Retained
1971,4,1.576,3.814974619,4.076,1.072890088,0,Net and Coble: Retained
1971,5,0.07,4.302857143,0.17,2.246470588,0,Fixed Engine: Retained
1971,5,1.252,4.116773163,5.436,1.2151766,0,Net and Coble: Retained
1971,6,0.061,4.685245902,0.084,2.154761905,0,Fixed Engine: Retained
1971,6,1.497,4.510754843,10.858,1.512129306,0,Net and Coble: Retained
1971,7,0.107,4.993457944,0.06,2.366666667,0,Fixed Engine: Retained
1971,7,2.186,4.663540714,8.032,1.521613546,0,Net and Coble: Retained
1971,8,0.077,4.52987013,0.055,2.301818182,0,Fixed Engine: Retained
1971,8,5.021,5.023481378,3.606,1.595008319,0,Net and Coble: Retained
1971,9,0.018,4.361111111,0.003,3.933333333,0,Fixed Engine: Retained
1971,9,2.234,4.996821844,1.804,1.867682927,0,Net and Coble: Retained
1972,2,0.006,4.533333333,0.005,0.9,0,Fixed Engine: Retained
1972,2,0.676,3.56908284,0.122,1.832786885,0,Net and Coble: Retained
1972,3,0.028,4.535714286,0.012,0.908333333,0,Fixed Engine: Retained
1972,3,1.905,3.721574803,0.463,1.435205184,0,Net and Coble: Retained
1972,4,0.043,4.346511628,0.013,1.430769231,0,Fixed Engine: Retained
1972,4,1.466,3.995975443,1.38,1.056086957,0,Net and Coble: Retained
1972,5,0.052,4.632692308,0.018,1.766666667,0,Fixed Engine: Retained
1972,5,1.559,4.347081462,5.197,1.05957283,0,Net and Coble: Retained
1972,6,0.032,4.421875,0.199,1.016582915,0,Fixed Engine: Retained
1972,6,2.01,5.053383085,8.043,1.370819346,0,Net and Coble: Retained
1972,7,0.279,4.45125448,0.12,1.005833333,0,Fixed Engine: Retained
1972,7,4.529,5.149768161,9.564,1.453544542,0,Net and Coble: Retained
1972,8,0.54,4.471296296,0.068,1.241176471,0,Fixed Engine: Retained
1972,8,10.457,5.273328871,5.559,1.523961144,0,Net and Coble: Retained
1972,9,0.114,4.750877193,0.139,1.448920863,0,Fixed Engine: Retained
1972,9,6.816,5.213321596,2.833,1.854712319,0,Net and Coble: Retained
1973,2,0.365,4.099726027,0.225,1.496,0,Net and Coble: Retained
1973,3,1.981,4.151943463,1.46,1.125616438,0,Net and Coble: Retained
1973,4,1.314,4.320547945,4.91,1.024236253,0,Net and Coble: Retained
1973,5,0.01,4.85,0.042,1.673809524,0,Fixed Engine: Retained
1973,5,1.428,4.579761905,6.692,1.387074118,0,Net and Coble: Retained
1973,6,0.098,5.105102041,0.079,2.692405063,0,Fixed Engine: Retained
1973,6,1.53,5.129150327,7.297,1.669658764,0,Net and Coble: Retained
1973,7,0.648,4.418981481,0.037,2.305405405,0,Fixed Engine: Retained
1973,7,4.409,5.062259016,6.059,1.584997524,0,Net and Coble: Retained
1973,8,0.467,4.217344754,0.005,2,0,Fixed Engine: Retained
1973,8,8.879,5.452258137,2.667,1.59463817,0,Net and Coble: Retained
1973,9,0.322,4.754347826,0.022,2.845454545,0,Fixed Engine: Retained
1973,9,7.172,5.792721695,2.25,1.934933333,0,Net and Coble: Retained
1974,2,0.002,4.55,0.002,0.9,0,Fixed Engine: Retained
1974,2,0.342,4.185672515,0.12,1.500833333,0,Net and Coble: Retained
1974,3,0,0,0,0,0,Fixed Engine: Retained
1974,3,0.743,4.24589502,0.611,1.234533552,0,Net and Coble: Retained
1974,4,0,0,0.099,0.907070707,0,Fixed Engine: Retained
1974,4,0.772,4.344430052,2.574,0.978904429,0,Net and Coble: Retained
1974,5,0.004,4.525,0.024,0.908333333,0,Fixed Engine: Retained
1974,5,1.462,4.586525308,6.386,1.317303476,0,Net and Coble: Retained
1974,6,0.114,4.874561404,0.126,1.965873016,0,Fixed Engine: Retained
1974,6,0.774,5.148966408,7.092,1.485490694,0,Net and Coble: Retained
1974,7,0.563,4.536767318,0.25,1.5168,0,Fixed Engine: Retained
1974,7,1.552,5.495747423,8.897,1.55833427,0,Net and Coble: Retained
1974,8,0.474,4.411603376,0.11,1.385454545,0,Fixed Engine: Retained
1974,8,3.34,5.243473054,4.678,1.572830269,0,Net and Coble: Retained
1974,9,0.165,4.662424242,0.063,1.317460317,0,Fixed Engine: Retained
1974,9,2.652,5.55188537,3.874,1.904749613,0,Net and Coble: Retained
1975,2,0.02,4.105,0,0,0,Fixed Engine: Retained
1975,2,0.557,4.25978456,0.128,1.5234375,0,Net and Coble: Retained
1975,3,0.216,3.733796296,0.002,2.95,0,Fixed Engine: Retained
1975,3,2.003,4.35341987,0.825,1.254060606,0,Net and Coble: Retained
1975,4,0.036,4.436111111,0.001,1.4,0,Fixed Engine: Retained
1975,4,1.625,4.457230769,2.669,1.005432746,0,Net and Coble: Retained
